genome_ID	OTU	NCBI_ID	novelty_category
MAG0713.0	713	2	known_strain
MAG0714.0	714	2	known_strain
MAG0715.0	715	2	known_strain
MAG0716.0	716	2	known_strain
MAG0717.0	717	2	known_strain
MAG0718.0	718	2	known_strain
MAG0719.0	719	2	known_strain
MAG0720.0	720	2	known_strain
MAG0721.0	721	2	known_strain
MAG0722.0	722	2	known_strain
MAG0723.0	723	2	known_strain
MAG0724.0	724	2	known_strain
MAG0725.0	725	2	known_strain
MAG0726.0	726	2	known_strain
MAG0727.0	727	2	known_strain
MAG0728.0	728	2	known_strain
MAG0729.0	729	2	known_strain
MAG0730.0	730	2	known_strain
MAG0731.0	731	2	known_strain
MAG0732.0	732	2	known_strain
MAG0733.0	733	2	known_strain
MAG0734.0	734	2	known_strain
MAG0735.0	735	2	known_strain
MAG0736.0	736	2	known_strain
MAG0737.0	737	2	known_strain
MAG0738.0	738	2	known_strain
MAG0739.0	739	2	known_strain
MAG0740.0	740	2	known_strain
MAG0741.0	741	2	known_strain
MAG0742.0	742	2	known_strain
MAG0743.0	743	2	known_strain
MAG0744.0	744	2	known_strain
MAG0745.0	745	2	known_strain
MAG0746.0	746	2	known_strain
MAG0747.0	747	2	known_strain
MAG0748.0	748	2	known_strain
MAG0749.0	749	2	known_strain
MAG0750.0	750	2	known_strain
MAG0751.0	751	2	known_strain
MAG0752.0	752	2	known_strain
MAG0753.0	753	2	known_strain
MAG0754.0	754	2	known_strain
MAG0755.0	755	2	known_strain
MAG0756.0	756	2	known_strain
MAG0757.0	757	2	known_strain
MAG0758.0	758	2	known_strain
MAG0759.0	759	2	known_strain
MAG0760.0	760	2	known_strain
MAG0761.0	761	2	known_strain
MAG0762.0	762	2	known_strain
MAG0763.0	763	2	known_strain
MAG0764.0	764	2	known_strain
MAG0765.0	765	2	known_strain
MAG0766.0	766	2	known_strain
MAG0767.0	767	2	known_strain
MAG0768.0	768	2	known_strain
MAG0769.0	769	2	known_strain
MAG0770.0	770	2	known_strain
MAG0771.0	771	2	known_strain
MAG0772.0	772	2	known_strain
MAG0773.0	773	2	known_strain
MAG0774.0	774	2	known_strain
MAG0775.0	775	2	known_strain
MAG0776.0	776	2	known_strain
MAG0777.0	777	2	known_strain
MAG0778.0	778	2	known_strain
MAG0779.0	779	2	known_strain
MAG0780.0	780	2	known_strain
MAG0781.0	781	2	known_strain
MAG0782.0	782	2	known_strain
MAG0783.0	783	2	known_strain
MAG0784.0	784	2	known_strain
MAG0785.0	785	2	known_strain
MAG0786.0	786	2	known_strain
MAG0787.0	787	2	known_strain
MAG0788.0	788	2	known_strain
MAG0789.0	789	2	known_strain
MAG0790.0	790	2	known_strain
MAG0791.0	791	2	known_strain
MAG0792.0	792	2	known_strain
MAG0793.0	793	2	known_strain
MAG0794.0	794	2	known_strain
MAG0795.0	795	2	known_strain
MAG0796.0	796	2	known_strain
MAG0797.0	797	2	known_strain
MAG0798.0	798	2	known_strain
MAG0799.0	799	2	known_strain
MAG0800.0	800	2	known_strain
MAG0801.0	801	2	known_strain
MAG0802.0	802	2	known_strain
MAG0803.0	803	2	known_strain
MAG0804.0	804	2	known_strain
MAG0805.0	805	2	known_strain
MAG0806.0	806	2	known_strain
MAG0807.0	807	2	known_strain
MAG0808.0	808	2	known_strain
MAG0809.0	809	2	known_strain
MAG0810.0	810	2	known_strain
MAG0811.0	811	2	known_strain
MAG0812.0	812	2	known_strain
MAG0813.0	813	2	known_strain
